trade_id;internal_ts;direction;pair;strategy;spread_pct;ex1;ex1_order_id;ex1_type;ex1_side;ex1_qty_ordered;ex1_qty_filled;ex1_price_expected;ex1_price_actual;ex1_value_usdt;ex1_fees;ex1_create_ts;ex1_status;ex2;ex2_order_id;ex2_type;ex2_side;ex2_qty_ordered;ex2_qty_filled;ex2_price_expected;ex2_price_actual;ex2_value_usdt;ex2_fees;ex2_create_ts;ex2_status;profit_usdt_expected;profit_mpc_expected;profit_usdt_actual;profit_mpc_actual;limit_watch_status;limit_last_check;error_code;error_message;raw_ex1_response;raw_ex2_response;raw_ex2_response_ts
1b161e2f2a_ex1p1;;;;;;;;;;;86;;0,01777;1,52822;0;2026-05-27 22:30:46.000;FILLED;;;;;;;;;;;;;;;;;;;;;;;
1b161e2f2a_ex2sum;;;;;;;;;;;;;;;;;;KCN;6a1754774e1cb600073c7de2;limit;sell;86;86.0;0,01801;0.018011;0;0.004646838;;PARTIAL;0,02064;0;;0;FILLED;2026-05-27T22:30:51.707374;;;;"{""orderId"": ""6a1754774e1cb600073c7de2""}";2026-05-27T22:30:47.425193
1b161e2f2a_ex2p1;;;;;;;;;;;;;;;;;;KCN;6a1754774e1cb600073c7de2;limit;sell;;86.0;;0.018011;0;0.004646838;0;FILLED;;;;;FILLED;2026-05-27T22:30:51.701624;;;;;
1b161e2f2a;2026-05-27T22:30:45.370389;MXC->KCN;MPC-USDT;USDT;1,350590884;MXC;C02__688417869540503552119;market;buy;86;86;0,01777;0,01777;1,52822;0;27.05.2026 22:30;FILLED;;;;;;;;;;;;;;;;;;;;;"{""status"": ""Filled"", ""orderId"": ""C02__688417869540503552119"", ""quantity"": ""86.0"", ""amount"": ""1.52822"", ""fees"": 0.0, ""price"": ""0.017769999999999998"", ""executedQty"": ""86.0"", ""cummulativeQuoteQty"": ""1.52822"", ""fills_count"": 1, ""ex1_partial_fills"": [{""qty_filled"": 86.0, ""price_actual"": 0.01777, ""value_usdt"": 1.52822, ""fees"": 0.0, ""create_ts"": 1779913846000}]}";;
1c8252130_ex1p1;;;;;;;;;;;80,45;;0,01709;1,3748905;0;2026-05-28 08:37:32.000;FILLED;;;;;;;;;;;;;;;;;;;;;;;
1c8252130_ex2sum;;;;;;;;;;;;;;;;;;KCN;6a17e2adf103be00072e301c;limit;sell;80;80.0;0,017697;0.017697;0;0.00424728;;PARTIAL;0,0408695;0,45;;0,45;FILLED;2026-05-28T08:37:41.842017;;;;"{""orderId"": ""6a17e2adf103be00072e301c""}";2026-05-28T08:37:33.488956
1c8252130_ex2p1;;;;;;;;;;;;;;;;;;KCN;6a17e2adf103be00072e301c;limit;sell;;80.0;;0.017697;0;0.00424728;0;FILLED;;;;;FILLED;2026-05-28T08:37:41.836342;;;;;
1c8252130;2026-05-28T08:37:31.129959;MXC->KCN;MPC-USDT;USDT;3,551784669;MXC;C02__688570566356905984119;market;buy;161;80,45;0,01709;0,01709;1,3748905;0;28.05.2026 08:37;PARTIAL;;;;;;;;;;;;;;;;;;;;;"{""status"": ""Filled"", ""orderId"": ""C02__688570566356905984119"", ""quantity"": ""80.45"", ""amount"": ""1.3748905"", ""fees"": 0.0, ""price"": ""0.01709"", ""executedQty"": ""80.45"", ""cummulativeQuoteQty"": ""1.3748905"", ""fills_count"": 1, ""ex1_partial_fills"": [{""qty_filled"": 80.45, ""price_actual"": 0.01709, ""value_usdt"": 1.3748905, ""fees"": 0.0, ""create_ts"": 1779950252000}]}";;
1c8252549_ex1p1;;;;;;;;;;;276,57;;0,01728;4,7791296;0;2026-05-28 08:37:36.000;FILLED;;;;;;;;;;;;;;;;;;;;;;;
1c8252549_ex2sum;;;;;;;;;;;;;;;;;;KCN;6a17e2b167c971000744051f;limit;sell;277;277.0;0,017697;0.017698;0;0.014707038;;PARTIAL;0,1229394;-0,43;;-0,43;FILLED;2026-05-28T08:37:41.201054;;;;"{""orderId"": ""6a17e2b167c971000744051f""}";2026-05-28T08:37:37.738155
